chord,span,airfoil mass,total mass,X_theta,Ia,dhh,dah,daa,Vcr
0.35209,0.78827,1.2348,3.759,0.57029,0.014298,5.9999,13.602,44.687,19.3
0.42179,0.44571,1.0003,3.7959,0.60155,0.010535,4.619,5.9895,38.668,0
0.3494,0.52598,1.3381,4.6703,0.67051,0.015703,7.4542,8.595,33.64,17.6
0.18867,0.57368,1.7966,4.4109,0.58511,0.014757,3.1158,9.1743,38.265,13.9
0.36255,0.42037,1.7449,4.8501,0.60852,0.0099072,4.1153,8.5301,27.157,15.9
0.421,0.23079,1.5927,2.662,0.72768,0.010173,5.501,15.023,28.865,0
0.068831,0.3282,1.3978,3.1743,0.60592,0.015553,6.4059,14.651,30.929,12.4
0.42613,0.2035,1.6103,4.5765,0.6066,0.015527,6.8063,13.294,34.317,18.8
0.36703,0.39742,1.2235,3.1105,0.6769,0.014809,4.4423,9.0555,41.531,17.7
0.2959,0.79471,1.2037,4.6549,0.69517,0.010743,5.3689,9.0208,34.966,15
0.37021,0.26304,1.8214,4.6966,0.6309,0.01201,5.8512,12.038,38.542,19.3
0.35315,0.43348,1.4293,5.0423,0.67459,0.014948,4.3717,11.253,34.689,15.5
0.43539,0.25154,1.5005,3.7381,0.57803,0.015333,7.4119,9.4199,39.523,0
0.10939,0.57189,1.2606,3.5103,0.7288,0.010373,4.5093,9.8629,28.425,11
0.36939,0.79249,1.159,2.8839,0.70045,0.011628,7.8585,14.753,36.072,15.8
0.39404,0.44113,1.6319,5.129,0.6719,0.015535,6.5917,9.8704,35.956,19.5
0.40505,0.31924,1.3954,5.1498,0.64047,0.013612,7.4967,14.984,36.309,17.8
0.093375,0.22167,1.6181,3.8747,0.75239,0.014223,6.3026,10.263,26.477,12.9
0.4348,0.52412,1.0303,4.2622,0.66394,0.0094132,7.4402,8.332,25.723,16
0.095579,0.38655,1.2284,4.1293,0.57323,0.010928,4.3991,13.831,31.088,9.9
0.35237,0.56198,1.7833,2.5151,0.75571,0.01494,3.2432,9.692,28.121,0
0.30208,0.33818,1.5799,3.9828,0.67998,0.012139,3.1671,10.168,30.173,13.9
0.093218,0.47593,1.4509,3.8267,0.72108,0.013906,7.3512,5.5519,25.472,13.3
0.23386,0.77512,1.79,3.5289,0.62669,0.0094137,6.6945,10.098,24.978,14.3
0.22088,0.30121,1.7517,3.2784,0.74836,0.0091202,7.1353,11.296,33.449,15.3
0.3102,0.63598,1.0945,4.806,0.56287,0.01106,3.8896,14.293,21.685,9.9
0.28244,0.58229,1.6513,4.7672,0.57119,0.014718,5.6346,11.974,25.29,13.4
0.26731,0.62151,1.9564,3.5069,0.57708,0.0094014,6.1373,12.992,37.26,16.8
0.18812,0.76809,1.5202,5.0347,0.57472,0.010449,6.8651,14.172,39.544,14.2
0.16821,0.29111,1.8479,4.5279,0.61417,0.010595,4.5951,13.326,40.535,13.5
0.27827,0.5431,1.286,4.2707,0.71925,0.012091,5.2211,9.6866,26.956,13.2
0.32015,0.7422,1.9085,4.4149,0.6121,0.013827,3.6492,6.265,24.753,15.5
0.10829,0.55103,1.0734,4.6403,0.70458,0.015481,5.4532,11.579,42.233,11.9
0.26541,0.36932,1.976,2.2826,0.62525,0.015811,4.8152,8.1215,23.003,14.8
0.41631,0.28129,1.3321,4.8657,0.65993,0.013307,5.9057,12.013,20.713,12.9
0.26115,0.21924,1.8271,3.1933,0.72934,0.010722,5.8975,14.407,21.175,13.2
0.071591,0.21237,1.6815,3.9692,0.58281,0.014574,6.0793,5.7321,21.712,13.9
0.1044,0.67333,1.0924,2.8869,0.60873,0.0097338,7.2818,12.012,38.324,11.8
0.31021,0.50976,1.3264,4.1586,0.58351,0.010035,3.0888,14.673,44.239,14.3
0.099544,0.48045,1.6567,3.0439,0.71091,0.012907,5.129,7.7019,38.823,13.6
0.40935,0.63707,1.4068,4.9882,0.61109,0.012732,7.7638,7.7075,26.232,17.9
0.42107,0.24115,1.2994,3.9481,0.60066,0.013451,6.9819,10.047,36.25,0
0.36838,0.34002,1.6008,2.5107,0.66315,0.014865,7.594,10.012,26.92,0
0.31101,0.75038,1.5098,5.0959,0.59946,0.0097783,4.4768,8.9942,30.499,15.2
0.17459,0.61631,1.0919,3.3796,0.61904,0.011145,3.5178,10.968,27.048,10.1
0.11209,0.2004,1.2836,3.8257,0.73418,0.0092958,7.5136,6.3397,40.823,13.7
0.37019,0.75073,1.1373,3.6875,0.64099,0.010215,5.8659,11.092,25.341,13.4
0.25797,0.79351,1.4899,4.2579,0.64228,0.0092434,4.4542,13.044,28.643,12.2
0.083326,0.50666,1.3668,4.3917,0.66495,0.014632,7.0746,6.9247,23.072,13.1
0.3784,0.58274,1.0161,4.8612,0.66308,0.012812,6.0222,12.634,41.364,17.4
0.20315,0.25079,1.7339,3.1693,0.72795,0.011602,7.1311,6.7952,23.218,14.3
0.40195,0.22645,1.6867,4.3746,0.64743,0.011659,7.8883,9.0199,30.985,19.6
0.11272,0.39562,1.3141,4.8568,0.6094,0.011175,5.0343,12.11,23.571,10.4
0.39853,0.24989,1.4617,2.2645,0.71064,0.0139,4.0626,11.829,33.912,0
0.39027,0.53514,1.9018,3.4319,0.63163,0.012423,4.2698,14.322,31.649,0
0.1516,0.45873,1.7025,3.3803,0.59637,0.014994,5.911,8.7658,25.522,13.1
0.1376,0.51334,1.4334,4.3972,0.57409,0.014931,6.3894,6.3965,41.44,15
0.12993,0.5644,1.543,2.6603,0.56113,0.0144,6.8139,9.2407,21.4,12.1
0.2843,0.30449,1.7286,3.7762,0.61061,0.015419,6.781,13.9,21.7,12.6
0.12341,0.64224,1.6967,4.5043,0.66038,0.011978,6.0462,13.588,36.75,12.8
0.25944,0.37929,1.704,3.3181,0.67354,0.015215,7.2047,14.018,43.455,17.1
0.37617,0.20081,1.0031,2.4357,0.61215,0.0091596,5.1104,8.4406,33.514,16.3
0.42047,0.3791,1.3381,4.7517,0.6281,0.0099668,5.529,13.597,29.588,14.5
0.32828,0.57674,1.4504,3.5942,0.74994,0.0095845,4.3891,9.5001,34.669,15.6
0.40105,0.48146,1.4374,4.4119,0.65358,0.015026,5.3226,10.011,32.166,17
0.14179,0.25133,1.0674,4.8385,0.60663,0.015031,6.5487,13.758,43.43,12.2
0.10588,0.43634,1.9806,4.1077,0.73928,0.012376,3.0605,11.259,25.757,12.1
0.26097,0.635,1.6074,3.9384,0.64669,0.010709,5.1348,5.1318,35.201,16.6
0.43319,0.25727,1.0356,4.832,0.60939,0.0090624,7.0646,6.435,41.977,0
0.088151,0.41154,1.5934,3.9288,0.69354,0.013536,5.1568,6.4276,38.778,13.7
0.14671,0.59028,1.8574,2.4264,0.75442,0.0092202,7.167,13.387,21.226,13
0.26835,0.7659,1.3215,4.5927,0.68028,0.014527,6.9859,5.5256,27.06,14.8
0.31138,0.49379,1.9729,4.4188,0.67357,0.011093,4.2705,13.896,31.15,14.3
0.37639,0.259,1.8596,2.2562,0.73983,0.0153,5.6105,6.232,24.425,0
0.33244,0.69882,1.0348,4.4468,0.75142,0.0114,6.1812,8.4601,25.392,13.4
0.36448,0.63385,1.2788,3.9206,0.6442,0.0096445,3.1101,9.9415,26.937,13.1
0.1859,0.37241,1.1709,3.3711,0.69953,0.010426,6.3216,9.4607,30.812,12.5
0.1201,0.31592,1.6164,2.9803,0.67194,0.015613,6.5624,11.822,43.965,14.2
0.36013,0.56464,1.948,2.3522,0.61374,0.015907,6.851,9.7835,37.002,0
0.21677,0.42809,1.2133,3.3221,0.56593,0.012306,4.6569,14.788,33.866,10.9
