chord,span,airfoil mass,total mass,X_theta,Ia,dhh,dah,daa,Vcr
0.44337,0.73778,1.8657,4.5762,0.671,0.011932,3.6256,11.576,41.579,0
0.15984,0.7041,1.0708,3.3097,0.61363,0.01007,6.145,8.1937,43.958,13.7
0.24947,0.64317,1.0128,3.9894,0.67529,0.014652,6.2648,13.812,42.539,13.8
0.11089,0.31555,1.791,2.3554,0.63797,0.0111,6.6609,6.0721,39.794,15.3
0.36309,0.51944,1.2534,2.3862,0.68516,0.0091728,3.3002,6.3261,31.245,0
0.31893,0.71367,1.4984,2.3197,0.62277,0.013491,6.9219,7.9215,32.427,17.3
0.37737,0.55708,1.5364,3.1659,0.64234,0.014558,4.706,9.6561,29.176,15.9
0.32183,0.54067,1.6518,3.6466,0.63969,0.012342,3.3229,9.1403,44.207,18
0.36229,0.63741,1.7657,4.443,0.72865,0.014391,7.8833,6.1436,29.882,18.8
0.24682,0.35486,1.037,5.0964,0.70529,0.010036,3.7295,12.078,29.505,10.9
0.080565,0.4465,1.143,4.5701,0.74605,0.009033,6.2402,11.815,26.321,11
0.38727,0.37638,1.0269,2.4532,0.71958,0.01398,6.907,11.269,40.615,17.5
0.064009,0.44328,1.2497,3.616,0.73617,0.010965,5.9857,5.2923,23.86,12.7
0.38356,0.31694,1.8298,3.1875,0.69422,0.0093666,6.6615,10.025,43.562,0
0.16591,0.42594,1.1138,5.0679,0.6465,0.0095919,6.5734,10.098,28.182,11.6
0.35141,0.7016,1.2537,3.7766,0.64703,0.010104,5.9924,14.405,22.674,11.2
0.40999,0.53028,1.4274,2.6304,0.60951,0.012132,5.6539,8.5765,39.308,0
0.40267,0.64046,1.4064,3.9858,0.68822,0.0098923,5.471,8.1347,34.444,18.2
0.42744,0.45616,1.0331,4.9616,0.745,0.011508,4.2899,12.899,32.77,13.8
0.27501,0.61088,1.0924,4.791,0.74859,0.0096762,7.2194,14.124,20.264,10.8
0.25947,0.59021,1.3851,4.1212,0.71257,0.01303,6.1496,7.812,40.976,16.5
0.22073,0.57897,1.8335,2.9839,0.64016,0.01288,5.2093,5.9338,38.59,16.8
0.063046,0.45785,1.0373,5.1007,0.66447,0.015367,4.9062,13.875,26.355,12.3
0.41362,0.73674,1.3985,4.0484,0.67352,0.015262,4.0608,5.0686,41.995,0
0.14405,0.34692,1.6409,3.0869,0.72512,0.015186,7.7169,8.938,40.013,15.3
0.11285,0.5751,1.699,2.4309,0.66624,0.01522,4.3083,7.3779,40.971,13.7
0.24822,0.29142,1.2308,4.1472,0.67259,0.011043,6.1015,12.189,26.998,12.2
0.21491,0.41732,1.7814,2.5798,0.74041,0.011027,5.4878,12.866,36.907,14.7
0.10992,0.61797,1.129,5.0111,0.73728,0.012605,6.387,14.798,23.117,10.4
0.3509,0.69623,1.7814,2.7459,0.64573,0.0091012,4.6164,6.377,31.243,0
0.27891,0.67521,1.4197,3.7709,0.74514,0.015294,5.7142,14.041,21.276,11.9
0.37344,0.40094,1.2287,4.6405,0.62965,0.010158,3.1307,14.584,36.987,12.8
0.39422,0.76346,1.6802,4.9256,0.61134,0.015199,7.5902,8.0306,21.815,16.8
0.35696,0.25097,1.7288,3.517,0.69025,0.010187,5.6472,11.368,20.332,0
0.23815,0.7318,1.114,3.5009,0.69191,0.011063,7.7418,11.973,25.15,12.1
0.2719,0.72757,1.5579,4.4303,0.73898,0.014893,3.6443,6.9215,23.821,13.6
0.061561,0.20545,1.5965,4.0004,0.74378,0.014135,4.4957,9.9857,26.434,13.2
0.34314,0.27006,1.746,4.6027,0.70905,0.01136,5.9116,9.7195,22.162,15
0.38149,0.61157,1.2673,5.0818,0.59675,0.0111,5.0459,7.3949,24.856,15.1
0.33215,0.30833,1.5223,3.0618,0.65256,0.015477,4.0694,5.0401,42.645,18.9
0.32202,0.50897,1.5221,2.4821,0.75938,0.011513,6.1162,8.9637,20.172,0
0.26811,0.50547,1.2468,2.3095,0.72835,0.0093377,4.5716,12.864,44.29,14.5
0.28459,0.66683,1.7277,4.1263,0.69292,0.015571,5.6654,9.0144,36.741,17
