chord,span,airfoil mass,total mass,X_theta,Ia,dhh,dah,daa,Vcr
0.076695,0.48721,1.92,4.3943,0.74743,0.0125,5.49,10.03,32.48,13.8
0.16838,0.35883,1.8343,4.5046,0.68217,0.0125,5.49,10.03,32.48,14.1
0.28962,0.31002,1.2266,4.3019,0.63972,0.0125,5.49,10.03,32.48,14.4
0.27874,0.41766,1.2765,2.7516,0.57767,0.0125,5.49,10.03,32.48,14.6
0.16339,0.66086,1.8481,3.6238,0.70385,0.0125,5.49,10.03,32.48,14.1
0.31311,0.71525,1.1063,5.1156,0.60366,0.0125,5.49,10.03,32.48,14.7
0.18324,0.38734,1.7633,4.806,0.67686,0.0125,5.49,10.03,32.48,14.1
0.31671,0.69034,1.2381,3.2325,0.74006,0.0125,5.49,10.03,32.48,14.6
0.2883,0.68277,1.3116,5.1633,0.68088,0.0125,5.49,10.03,32.48,14.6
0.16878,0.45491,1.9557,4.2149,0.58019,0.0125,5.49,10.03,32.48,14.4
0.26762,0.2394,1.3324,3.9277,0.58742,0.0125,5.49,10.03,32.48,14.6
0.24855,0.27327,1.4573,4.8098,0.72276,0.0125,5.49,10.03,32.48,14.3
0.14815,0.45935,1.943,4.2843,0.71408,0.0125,5.49,10.03,32.48,14.1
0.055046,0.43999,1.9924,3.4687,0.68034,0.0125,5.49,10.03,32.48,0
0.1564,0.49842,1.9648,3.596,0.61862,0.0125,5.49,10.03,32.48,14.2
0.24332,0.7705,1.4817,3.7858,0.6191,0.0125,5.49,10.03,32.48,14.4
0.25741,0.66657,1.4066,2.7136,0.68485,0.0125,5.49,10.03,32.48,14.3
0.29016,0.63639,1.2326,2.7859,0.62616,0.0125,5.49,10.03,32.48,14.5
0.18565,0.46635,1.82,4.7375,0.60099,0.0125,5.49,10.03,32.48,14.3
0.24518,0.27495,1.4883,3.5546,0.73388,0.0125,5.49,10.03,32.48,14.3
