chord,span,airfoil mass,total mass,X_theta,Ia,dhh,dah,daa,Vcr
0.25,0.5,1.5,3.6733,0.66,0.0094294,5.5195,9.9314,31.239,14.3
0.25,0.5,1.5,3.6733,0.66,0.012399,3.7678,6.4627,31.789,14.3
0.25,0.5,1.5,3.6733,0.66,0.010466,3.1931,9.7657,40.196,14.5
0.25,0.5,1.5,3.6733,0.66,0.01551,3.2568,11.787,43.511,14.5
0.25,0.5,1.5,3.6733,0.66,0.012467,7.6065,5.8407,23.178,14.6
0.25,0.5,1.5,3.6733,0.66,0.0093157,4.5567,5.6234,28.511,14.3
0.25,0.5,1.5,3.6733,0.66,0.013165,4.5784,8.2394,29.874,14.1
0.25,0.5,1.5,3.6733,0.66,0.010025,3.8028,10.923,40.035,14.6
0.25,0.5,1.5,3.6733,0.66,0.013687,6.3896,9.7477,27.589,14.2
0.25,0.5,1.5,3.6733,0.66,0.012191,7.5094,8.7718,25.713,14.5
0.25,0.5,1.5,3.6733,0.66,0.011592,4.8097,13.759,42.392,14.6
0.25,0.5,1.5,3.6733,0.66,0.0092235,7.7006,5.7089,23.054,14.6
0.25,0.5,1.5,3.6733,0.66,0.010299,4.0933,8.8006,34.313,14.4
0.25,0.5,1.5,3.6733,0.66,0.012049,7.2935,5.6486,23.524,14.6
0.25,0.5,1.5,3.6733,0.66,0.011414,6.2838,10.457,28.965,14.1
0.25,0.5,1.5,3.6733,0.66,0.0099236,4.7127,6.8497,29.284,14.3
0.25,0.5,1.5,3.6733,0.66,0.0094331,7.5328,9.6805,27.594,14.6
0.25,0.5,1.5,3.6733,0.66,0.011784,6.6791,13.894,35.609,14.5
0.25,0.5,1.5,3.6733,0.66,0.010975,4.0005,5.4826,29.469,14.2
0.25,0.5,1.5,3.6733,0.66,0.011654,4.1919,12.947,42.502,14.5
