chord,span,airfoil mass,total mass,X_theta,Ia,dhh,dah,daa,Vcr
0.43976,0.62729,1.1231,4.7114,0.56591,0.010738,4.3365,13.931,38.428,18.1
0.41058,0.3367,1.5073,3.1246,0.57823,0.015679,5.1955,12.82,34.787,17.4
0.24629,0.79381,1.5303,2.281,0.62622,0.0096354,6.4594,5.8233,36.301,16.8
0.40941,0.36285,1.9133,3.3229,0.60577,0.012937,5.5111,9.6478,24.765,0
0.29274,0.20178,1.7055,3.5341,0.74838,0.012534,6.4581,14.224,42.736,16.9
0.40596,0.54188,1.1733,4.9207,0.6983,0.010276,6.672,7.7992,30.574,17
0.28762,0.51704,1.6196,3.8664,0.68622,0.011471,5.9228,9.4514,33.745,16.2
0.43132,0.7882,1.2486,3.2335,0.6712,0.015778,7.0985,11.552,32.092,17.3
0.44078,0.45477,1.2581,4.509,0.73948,0.010561,3.5875,12.512,41.015,17
0.25104,0.56672,1.6141,3.4768,0.59247,0.010932,3.69,7.6488,43.218,16.8
0.4092,0.27417,1.021,3.4185,0.63529,0.010703,4.468,11.583,39.649,17.4
0.34446,0.35854,1.8131,4.1566,0.65686,0.014209,4.6625,8.7792,31.248,16.9
0.38142,0.67813,1.5283,4.5128,0.56906,0.010761,5.3106,5.1927,24.04,16.7
0.23169,0.33587,1.8851,3.1709,0.75027,0.011168,7.6309,5.5741,32.123,17
0.4104,0.79726,1.8071,2.3183,0.75044,0.01287,4.3679,12.683,31.28,0
0.21624,0.31044,1.9268,4.157,0.71707,0.012644,5.383,5.3471,39.792,17.1
0.2912,0.2054,1.5996,3.8203,0.58439,0.012991,4.9331,5.4762,32.957,17
0.40682,0.73457,1.0281,3.6703,0.72655,0.0093561,3.3211,9.1392,42.054,17
0.44174,0.57202,1.2461,2.5253,0.66088,0.014887,4.705,14.899,41.923,17.4
0.20773,0.59735,1.8903,3.5302,0.72592,0.011938,7.607,5.5809,33.055,16.8
